==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc'
nslookup: can't resolve 'wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
2021-09-23 23:03:31.882643 I | raft: 6c4c8f4655e4dacc became candidate at term 21
2021-09-23 23:03:31.882661 I | raft: 6c4c8f4655e4dacc received MsgVoteResp from 6c4c8f4655e4dacc at term 21
2021-09-23 23:03:31.882680 I | raft: 6c4c8f4655e4dacc [logterm: 2, index: 5] sent MsgVote request to 1c16dd9ccd9e7b3e at term 21
2021-09-23 23:03:31.915767 W | rafthttp: health check for peer 1c16dd9ccd9e7b3e could not connect: dial tcp: lookup wcm-etcd-cluster-rz8bn4795l.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-09-23 23:03:32.882596 I | raft: 6c4c8f4655e4dacc is starting a new election at term 21
2021-09-23 23:03:32.882654 I | raft: 6c4c8f4655e4dacc became candidate at term 22
2021-09-23 23:03:32.882666 I | raft: 6c4c8f4655e4dacc received MsgVoteResp from 6c4c8f4655e4dacc at term 22
2021-09-23 23:03:32.882683 I | raft: 6c4c8f4655e4dacc [logterm: 2, index: 5] sent MsgVote request to 1c16dd9ccd9e7b3e at term 22
2021-09-23 23:03:34.682582 I | raft: 6c4c8f4655e4dacc is starting a new election at term 22
2021-09-23 23:03:34.682631 I | raft: 6c4c8f4655e4dacc became candidate at term 23
2021-09-23 23:03:34.682642 I | raft: 6c4c8f4655e4dacc received MsgVoteResp from 6c4c8f4655e4dacc at term 23
2021-09-23 23:03:34.682657 I | raft: 6c4c8f4655e4dacc [logterm: 2, index: 5] sent MsgVote request to 1c16dd9ccd9e7b3e at term 23
2021-09-23 23:03:36.282548 I | raft: 6c4c8f4655e4dacc is starting a new election at term 23
2021-09-23 23:03:36.282681 I | raft: 6c4c8f4655e4dacc became candidate at term 24
